theme_id,question_id,question_text,option_a,option_b,option_c,option_d
true-love-match,q9,Your perfect date is...,Candlelit dinner,Road trip,Stay in and watch movies,Adventure activity
true-love-match,q10,When you want to impress someone you...,Dress up nicely,Make them laugh,Show off your knowledge,Be yourself
true-love-match,q11,The one gets your heart by...,Making you feel safe,Making you feel excited,Understanding you deeply,Challenging you
true-love-match,q12,Love for you is...,A feeling you fall into,A choice you make daily,A journey you take together,A dream come true
destiny-partner,q1,Do you believe in destiny?,Yes completely,No we make our own fate,Maybe sometimes,I don't know
destiny-partner,q2,When you meet the one you know because...,Your heart races,It just feels right,You feel calm and at peace,Everything makes sense
destiny-partner,q3,Your first love was...,A fairytale,A disaster,A learning experience,Still your only love
destiny-partner,q4,In relationships you look for...,Instant chemistry,Long-term compatibility,Mutual respect,Passion and fire
destiny-partner,q5,Have you ever felt immediate connection with a stranger?,Yes many times,Once or twice,No never,I don't remember
destiny-partner,q6,When you think about your future partner you see...,Someone who makes you laugh,Someone who challenges you,Someone who accepts you,Someone who matches your energy
destiny-partner,q7,Your love life has been...,One amazing story after another,A series of disasters,Pretty normal,Waiting for the right person
destiny-partner,q8,Do you believe in soulmates?,Yes there's only one for everyone,Yes but we can have multiple,No it's just a concept,Maybe I'm not sure
destiny-partner,q9,When you find the one you'll...,Know immediately,Take your time to realize,Let others point it out,Feel it gradually
destiny-partner,q10,The perfect love story for you is...,Friends to lovers,Enemies to lovers,Love at first sight,Slow burn romance
destiny-partner,q11,What makes someone your destiny?,The timing is right,The connection is undeniable,You both choose each other daily,They complete you
destiny-partner,q12,Will you find your destiny partner?,Already have,Definitely will,Probably not,I don't care
movie-character,q1,When you face a problem you...,Face it head on,Think of a clever solution,Ask friends for help,Avoid it until it goes away
movie-character,q2,Your friends describe you as...,The brave leader,The funny one,The smart one,The mysterious one
movie-character,q3,If you could have one superpower you'd choose...,Super strength,Invisibility,Mind reading,Time travel
movie-character,q4,In a group project you...,Take charge and delegate,Do all the work yourself,Let others lead,Make sure everyone gets along
movie-character,q5,When someone insults you you...,Insult them back,Ignore them,Think of a comeback later,Cry in private
movie-character,q6,Your ideal weekend is...,Party with friends,Movie marathon at home,Learning something new,Adventure outdoors
movie-character,q7,When you're in danger you...,Fight back,Look for escape route,Call for help,Freeze
movie-character,q8,What do you value most?,Loyalty,Honesty,Freedom,Love
movie-character,q9,Your biggest strength is...,Courage,Intelligence,Compassion,Creativity
movie-character,q10,When you're angry you...,Yell and shout,Stay quiet and boil inside,Walk away,Break something
movie-character,q11,What's your biggest flaw?,Being too blunt,Being too passive,Caring too much,Being too ambitious
movie-character,q12,Your life motto is...,Live like there's no tomorrow,Knowledge is power,To love and be loved,Never give up
